date,q2_plan_cost,q2_emergency_cost,q2_total_cost,q3_s0_total_cost,q3_s1_total_cost,actual_net_energy_kwh,saving_vs_q3_s0_yuan,saving_vs_q2_yuan,season,extreme_net_demand_day
2025-02-01,23124.02641631044,3.4748381949611937e-13,23124.02641631044,23799.725915184164,22880.65029984532,34378.17593333333,919.0756153388429,243.37611646511868,冬季,False
2025-02-02,57536.76745222535,3.6610003917303403e-13,57536.76745222535,58485.037233692674,57536.35927939761,78356.27794999999,948.6779542950608,0.40817282773787156,冬季,False
2025-02-03,58743.66664128964,0.0,58743.66664128964,59606.33294144191,57731.2334660803,80216.9165,1875.0994753616105,1012.4331752093349,冬季,False
2025-02-04,60124.14045187978,9.811422785332978e-13,60124.14045187978,60845.62832376656,59128.96082665846,81194.86395,1716.667497108101,995.1796252213171,冬季,False
2025-02-05,54998.1421371163,526.7502204613912,55524.89235757769,56633.18695501994,57025.95284565876,80748.42698333334,-392.7658906388169,-1501.0604880810642,冬季,False
2025-02-06,58286.74181041888,331.3203617476132,58618.062172166494,59690.46341836723,57441.64150534127,80271.05721666667,2248.8219130259604,1176.4206668252227,冬季,False
2025-02-07,23146.722177119897,0.0,23146.722177119897,23734.948108610508,22691.982875498157,31805.679666666663,1042.9652331123507,454.7393016217393,冬季,False
2025-02-08,18919.105827278203,2416.811737416718,21335.91756469492,21021.758334199843,20527.082943310907,31577.162716666666,494.6753908889368,808.8346213840123,冬季,False
2025-02-09,54815.08992009808,11.273349958800573,54826.36327005688,56956.09009083592,56717.20546190421,79555.41596666665,238.884628931708,-1890.8421918473323,冬季,False
2025-02-10,51700.2600008536,550.379779842519,52250.63978069612,53730.67520732594,52551.20285652691,74326.63758333333,1179.4723507990348,-300.5630758307889,冬季,False
2025-02-11,52021.01229529873,1500.4748513615557,53521.487146660285,54720.710711410895,53157.62497904191,75220.59713333333,1563.0857323689852,363.8621676183757,冬季,False
2025-02-12,50563.65800552132,33.506494805751544,50597.16450032707,54472.53769509207,53106.10754483028,75266.73613333332,1366.430150261789,-2508.943044503212,冬季,False
2025-02-13,46592.72009454125,7740.423984954042,54333.14407949529,50458.41113496238,50423.08270978922,71329.47901666666,35.32842517316021,3910.061369706069,冬季,False
2025-02-14,18687.755004962044,1506.7487774970273,20194.503782459076,20264.77995523368,20397.14849162353,29801.80181666666,-132.36853638985122,-202.64470916445498,冬季,False
2025-02-15,19115.152266333112,642.9845446646787,19758.136810997792,19790.14655080304,19439.217936346548,29280.0911,350.92861445649396,318.91887465124455,冬季,False
2025-02-16,51645.7419624364,60.65810437500117,51706.4000668114,55003.01711748543,53428.99051045789,75377.37909999999,1574.0266070275466,-1722.5904436464843,冬季,False
2025-02-17,51097.241920468914,165.6170147714857,51262.8589352404,54503.03535339573,51176.98533495055,71183.86316666666,3326.050018445181,85.87360028985131,冬季,False
2025-02-18,45185.09996076763,24644.640634430183,69829.74059519781,48801.49567524398,49244.80132104265,72091.38778333334,-443.3056457986677,20584.939274155164,冬季,False
2025-02-19,45767.04366880978,22947.387939815795,68714.43160862557,49245.358069232745,50953.82856958636,72879.32738333332,-1708.4705003536146,17760.60303903921,冬季,False
2025-02-20,49316.82060126327,129.4580217733517,49446.27862303662,50658.59367204878,50101.1107289077,70993.13373333332,557.4829431410835,-654.832105871079,冬季,False
