date,q2_plan_cost,q2_emergency_cost,q2_total_cost
2025-02-01,23124.026416310437,3.4748381949611937e-13,23124.026416310437
2025-02-02,57536.76745222535,3.6610003917303403e-13,57536.76745222535
2025-02-03,58743.66664128964,0.0,58743.66664128964
2025-02-04,60124.14045187978,9.811422785332978e-13,60124.14045187978
2025-02-05,54998.1421371163,526.7502204613912,55524.89235757769
2025-02-06,58286.741810418884,331.3203617476132,58618.062172166494
2025-02-07,23146.722177119897,0.0,23146.722177119897
2025-02-08,18919.105827278203,2416.811737416718,21335.917564694922
2025-02-09,54815.08992009808,11.273349958800573,54826.36327005688
2025-02-10,51700.260000853596,550.379779842519,52250.63978069612
2025-02-11,52021.01229529873,1500.4748513615555,53521.487146660285
2025-02-12,50563.65800552132,33.506494805751544,50597.16450032707
2025-02-13,46592.72009454125,7740.423984954042,54333.14407949529
2025-02-14,18687.755004962044,1506.7487774970273,20194.503782459073
2025-02-15,19115.152266333112,642.9845446646787,19758.136810997792
2025-02-16,51645.7419624364,60.65810437500117,51706.4000668114
2025-02-17,51097.241920468914,165.6170147714857,51262.8589352404
2025-02-18,45185.09996076763,24644.640634430183,69829.74059519781
2025-02-19,45767.04366880978,22947.387939815795,68714.43160862557
2025-02-20,49316.820601263265,129.4580217733517,49446.27862303662
2025-02-21,17512.957444789714,286.4986622022191,17799.456106991933
2025-02-22,18164.966254226718,1083.2931130749628,19248.25936730168
2025-02-23,49100.32336170272,1205.531411494404,50305.85477319713
2025-02-24,47539.95207519035,7.05416169921591e-13,47539.95207519035
2025-02-25,48587.96755803027,1.3982059954287252e-13,48587.96755803027
2025-02-26,43793.52195083875,10244.956575513823,54038.47852635258
2025-02-27,45063.60969165548,194.13121829861382,45257.7409099541
2025-02-28,17301.50939249796,595.6646124402416,17897.174004938202
2025-03-01,19074.308387750854,7.013767344687949e-14,19074.308387750854
2025-03-02,51172.88185557639,183.20232476988136,51356.08418034627
2025-03-03,52358.21714100075,2608.7522606884663,54966.96940168922
2025-03-04,45176.95538831628,4822.131230133781,49999.08661845006
2025-03-05,47179.828462064084,2.20078390555601,47182.02924596964
2025-03-06,43472.60344195038,1381.3971229576346,44854.00056490801
2025-03-07,17877.76051307541,0.0,17877.76051307541
2025-03-08,16271.89602701852,0.0,16271.89602701852
2025-03-09,45844.42958665829,8.547820229409809e-13,45844.42958665829
2025-03-10,43676.42971782901,4095.6174618145405,47772.047179643545
2025-03-11,38988.5651471592,29129.017049342965,68117.58219650216
2025-03-12,44584.33572536264,162.26612923611424,44746.60185459875
2025-03-13,44932.020557654396,785.5877759506462,45717.60833360504
2025-03-14,15594.736398547408,851.173042952155,16445.909441499563
2025-03-15,15077.686240540426,3042.49308940872,18120.179329949147
2025-03-16,43450.71881790036,5.068656605544675e-14,43450.71881790036
2025-03-17,39529.9572947976,1665.6567558124802,41195.61405061008
2025-03-18,46094.65816657577,1.7692241005562436e-12,46094.65816657577
2025-03-19,37434.97088586897,16194.84252914405,53629.81341501302
2025-03-20,43959.73572811548,1687.9490954141593,45647.684823529635
2025-03-21,15020.617459453471,861.2570696349904,15881.874529088462
2025-03-22,15669.25100999717,3.0530600270139987e-13,15669.25100999717
2025-03-23,44841.45191594947,1.887530132194115e-13,44841.45191594947
2025-03-24,40041.01166021829,0.0,40041.01166021829
2025-03-25,44991.67825910331,112.85981891501761,45104.538078018326
2025-03-26,37793.92680422218,7.741363106106291e-13,37793.92680422218
2025-03-27,40060.735741456025,8.911436033542941e-13,40060.735741456025
2025-03-28,14965.559481697313,2.0703216918604996e-13,14965.559481697313
2025-03-29,14176.023514221837,2635.195783810218,16811.219298032054
2025-03-30,39273.71086735903,3.256737102219631e-13,39273.71086735903
2025-03-31,34497.68775966328,25205.4771537127,59703.16491337598
2025-04-01,40885.201757762174,2432.2708075595283,43317.4725653217
2025-04-02,38432.52963092491,8321.662742023731,46754.192372948644
2025-04-03,40408.90677197139,136.62668478896518,40545.53345676036
2025-04-04,14184.496580834853,0.0,14184.496580834853
2025-04-05,13572.114901467656,968.9202124094504,14541.035113877106
2025-04-06,37003.599130062816,328.5636802481244,37332.16281031094
2025-04-07,33430.633795492955,10117.954098375507,43548.58789386846
2025-04-08,39684.571502789826,1491.3217376378611,41175.893240427686
2025-04-09,38633.12825797139,3.486758382020838e-13,38633.12825797139
2025-04-10,37803.16458571311,6.373350736055271e-13,37803.16458571311
2025-04-11,12980.821691477884,1723.5924831283103,14704.414174606194
2025-04-12,14464.479661375452,3.353903821334825e-13,14464.479661375452
2025-04-13,35071.56546463922,193.1697826466325,35264.735247285855
2025-04-14,37871.16728997486,0.0,37871.16728997486
2025-04-15,32158.719863512084,7097.138237081689,39255.858100593774
2025-04-16,35938.44312442705,32.76950103460953,35971.21262546166
2025-04-17,33782.779371145654,12820.284803335493,46603.064174481144
2025-04-18,12984.701029930251,205.21669289897375,13189.917722829225
2025-04-19,12378.722308970377,109.03190839620935,12487.754217366586
2025-04-20,33922.142639136975,1901.0789746500086,35823.221613786984
2025-04-21,35871.70171493118,0.0,35871.70171493118
2025-04-22,32635.635442779723,6561.198705986351,39196.83414876607
2025-04-23,31881.768912011532,11515.53808378826,43397.306995799794
2025-04-24,33059.90093809448,571.6041874946684,33631.505125589145
2025-04-25,12674.439260366536,0.0,12674.439260366536
2025-04-26,12459.607786053522,144.56864643278874,12604.17643248631
2025-04-27,33011.186544059245,462.04665590761294,33473.23319996686
