date,q3_s0_total_cost,q3_s1_total_cost,actual_net_energy_kwh
2025-02-01,23799.725915184164,22880.65029984532,34378.17593333333
2025-02-02,58485.037233692674,57536.35927939761,78356.27794999999
2025-02-03,59606.33294144191,57731.2334660803,80216.9165
2025-02-04,60845.628323766556,59128.96082665846,81194.86395
2025-02-05,56633.18695501994,57025.95284565876,80748.42698333334
2025-02-06,59690.46341836723,57441.64150534127,80271.05721666667
2025-02-07,23734.948108610508,22691.982875498154,31805.679666666663
2025-02-08,21021.758334199843,20527.082943310907,31577.162716666666
2025-02-09,56956.09009083592,56717.20546190421,79555.41596666665
2025-02-10,53730.67520732594,52551.20285652691,74326.63758333333
2025-02-11,54720.710711410895,53157.62497904191,75220.59713333333
2025-02-12,54472.53769509207,53106.10754483028,75266.73613333332
2025-02-13,50458.41113496238,50423.08270978922,71329.47901666666
2025-02-14,20264.77995523368,20397.14849162353,29801.80181666666
2025-02-15,19790.146550803038,19439.217936346548,29280.091099999998
2025-02-16,55003.017117485426,53428.990510457894,75377.37909999999
2025-02-17,54503.035353395724,51176.98533495055,71183.86316666666
2025-02-18,48801.49567524398,49244.80132104265,72091.38778333334
2025-02-19,49245.358069232745,50953.82856958636,72879.32738333332
2025-02-20,50658.59367204878,50101.1107289077,70993.13373333332
2025-02-21,18360.56122426567,18491.486906546274,25560.262033333333
2025-02-22,18680.87846662001,18723.946271955236,27844.762883333333
2025-02-23,50320.95832062282,49260.90828070397,71531.85368333333
2025-02-24,48772.46814218096,48075.7960402051,68203.03361666667
2025-02-25,49870.81691275561,47621.813445023996,65821.32323333333
2025-02-26,48933.54455829489,47398.81630771912,68814.84803333333
2025-02-27,46211.76680005154,47030.56523363682,66956.58419999998
2025-02-28,18188.961430627613,17587.343882262154,23292.593549999998
2025-03-01,19788.513997349284,19446.733938519847,23658.765933333332
2025-03-02,52252.698275863586,51749.05952861785,72358.30706666666
2025-03-03,53884.9399057552,51915.19603036298,72017.14663333332
2025-03-04,46758.469535399374,46995.1395889295,69199.45793333334
2025-03-05,48495.89656775647,46319.59924075342,66130.47201666667
2025-03-06,44799.03651148633,44859.4432083663,65940.65413333333
2025-03-07,18492.54110924548,17556.149018057964,20922.285533333332
2025-03-08,17179.55316664339,16736.669225005848,19063.139516666666
2025-03-09,47238.755798650185,44936.99721809855,63333.52505
2025-03-10,47210.76938665574,45664.99676219142,68042.07144999999
2025-03-11,61483.30633405916,44804.33976422797,63938.91879999999
2025-03-12,45792.94689128716,44409.854008966926,62435.534683333324
2025-03-13,45817.921343163805,46315.50856430691,67545.61801666666
2025-03-14,16839.852655133276,16704.632876715023,16029.425983333334
2025-03-15,17316.62223838779,16456.23790727849,20924.12515
2025-03-16,44293.08322641033,44350.84513540743,63351.04693333333
2025-03-17,40694.99094976479,41643.84880879091,57858.13143333333
2025-03-18,47125.889572941705,44278.14396315917,61125.958366666666
2025-03-19,47974.64570726654,42291.27361795695,59465.47044999999
2025-03-20,45527.53572207716,45196.36536184179,62208.96181666666
2025-03-21,15923.323307636254,15260.652729454723,12033.464516666667
2025-03-22,16576.98182518869,15887.386137909803,15881.199733333333
2025-03-23,44341.8009222721,42322.76088861119,58769.720116666664
2025-03-24,41474.09700093762,43389.33660779039,57998.497083333335
2025-03-25,46461.347422448394,44179.86570412198,60950.124716666665
2025-03-26,40927.50183739595,39137.983425065926,55592.55486666666
2025-03-27,42450.04122144134,42030.667801593205,58716.98939999999
2025-03-28,15939.182788958935,15440.263706355567,10821.880766666665
2025-03-29,17107.833727182675,15314.536920102575,7707.209183333331
2025-03-30,41387.30855965003,39211.32619500579,55345.619699999996
2025-03-31,46746.481515146486,39001.965949341844,56951.38948333333
2025-04-01,43369.33969300748,41649.71498699183,60208.85151666666
2025-04-02,41594.93952388588,41250.62270569421,60435.335399999996
2025-04-03,42886.73570507441,40467.46164504444,55863.53026666667
2025-04-04,14799.119716440795,14421.873085161102,6430.802249999999
2025-04-05,15217.647832902314,14360.170301457309,12044.114983333335
2025-04-06,39447.403839982784,39178.19520418617,54410.076266666656
2025-04-07,37694.96940733242,37040.1733253773,53242.719283333325
2025-04-08,40623.577270060065,38711.71011546019,54353.19361666666
2025-04-09,39365.73633531339,39916.004358306884,59134.31101666667
2025-04-10,38819.40731552818,38077.97192413772,54460.6379
2025-04-11,15798.83748919546,14477.976298094449,5316.650166666667
2025-04-12,14824.01786970585,14225.745913488598,9025.16055
2025-04-13,36659.59606257414,37027.25632020409,54276.35848333333
2025-04-14,39480.875959699566,37453.338133444006,52528.0318
